Name	Last	Chg. % 1DChg. Abs.	DateTime	ISIN	BidVolume	AskVolume	Maturity	Status
A1 TowersHold. 5,25%Notes23-28	105.540	-0.03%-0.030	11/20/202509:05:22	XS2644414125	--	--	07/13/2028	D
OMV 15y Notes 19-34	82.430	+0.04%+0.030	11/20/202509:05:19	XS2022093517	--	--	07/03/2034	D
CA Immo 0,875% Anleihe 20-27	97.700	+0.02%+0.020	11/20/202509:05:17	XS2099128055	--	--	02/05/2027	D
OMV 3,5% Anl. 12-27/S.6	101.900	-0.03%-0.030	11/20/202509:05:17	XS0834371469	--	--	09/27/2027	D
Borealis 1,75 % Notes 18-25	99.900	0.00%0.000	11/20/202509:05:16	AT0000A24UY3	--	--	12/10/2025	D
voestalpine3.75%GreenN.24-29/1	103.230	-0.02%-0.020	11/20/202509:05:15	AT0000A3FA05	--	--	10/03/2029	D
Wienerberger Sust.Link.B.23-28	105.190	-0.02%-0.020	11/20/202509:05:14	AT0000A37249	--	--	10/04/2028	D
CA IMMO 4,25% Green B. 24--30	102.380	-0.02%-0.020	11/20/202509:05:13	XS2927556519	--	--	04/30/2030	D
OMV AG 1.875% Notes 18-28/S11	97.950	-0.01%-0.010	11/20/202509:05:11	XS1917590959	--	--	12/04/2028	D
VERBUND 0,9%Green+Sust.N.21-41	66.600	-0.08%-0.050	11/20/202509:05:09	XS2320746394	--	--	04/01/2041	D
Telek.Fin.1,5% Anl. 16-26	99.230	0.00%0.000	11/20/202509:05:08	XS1405762805	--	--	12/07/2026	D
HWBB 3,25% WB-WA 24-36/3  OOE	95.950	-2.49%-2.450	11/19/202514:30:27	AT0000A39P41	--	--	01/24/2036	D
Hypo-WBB WA OOE. 16-36/12	80.150	-1.23%-1.000	11/19/202514:15:21	AT0000A1MBX3	--	--	07/25/2036	D
HWBB 4,00% WB-WA 23-35/15, ST	106.650	-0.09%-0.100	11/19/202514:15:19	AT0000A37JL5	--	--	10/17/2035	D
BAWAG P.S.K.WB.WD13-28/02	99.710	+0.05%+0.050	11/19/202514:15:18	AT0000A0Y1R8	--	--	01/18/2028	D
RaiffWBB 1,1-2% StzWA 17-27/19	99.050	-0.05%-0.050	11/19/202514:15:14	AT000B124623	--	--	10/06/2027	D
HWBB 2,75% WB-WA 22-34/2  OOE	92.450	-1.68%-1.580	11/19/202514:15:12	AT0000A2ZQB7	--	--	08/04/2034	D
RWBB Min-Max-WA 18-28/20	99.050	-0.05%-0.050	11/19/202514:15:11	AT000B124631	--	--	06/29/2028	D
BAWAG P.S.K.WB.WD12-27/03	100.280	+0.08%+0.080	11/19/202514:15:09	AT0000A0SQY8	--	--	01/09/2027	D
RWBB vario WSV 15-27/10	98.900	0.00%0.000	11/19/202514:15:06	AT000B124532	--	--	10/12/2027	D
RLBTir 3,60% Anleihe 23-26/17	99.850	0.00%0.000	11/19/202514:15:05	AT0000A32SB8	--	--	03/06/2026	D
Hypo-WBB WA Bgl. 14-25/24	99.760	-0.02%-0.020	11/19/202514:15:02	AT0000A1AMU1	--	--	12/19/2025	D
RWBB vario WSV 16-28/RLBTirol	98.300	0.00%0.000	11/19/202514:15:01	AT000B124565	--	--	10/10/2028	D
BTV Kapitalschutzanl.19-26/9	131.890	-0.86%-1.150	11/19/202513:15:12	AT0000A28KA5	--	--	07/29/2026	D
SIMMO 2,875% Anl.18-30/S2/2018	103.000	+6.74%+6.500	11/19/202513:06:30	AT0000A1Z9C1	--	--	02/06/2030	D
BKS 3,75% Obl. 23-28/6	102.400	-0.05%-0.050	11/19/202513:00:26	AT0000A38H18	--	--	11/13/2028	D
OB 0,40% Anl. 21-29	91.390	0.00%0.000	11/19/202513:00:26	AT000B127121	--	--	02/26/2029	D
BTV Stuzi Obl 23-28/9	103.280	-0.05%-0.050	11/19/202513:00:23	AT0000A36WV9	--	--	09/19/2028	D
AllgSpk 170Jah.Jub.Anl.19-26/4	99.530	+0.06%+0.060	11/19/202513:00:19	AT000B101340	--	--	01/21/2026	D
BTV KS Anl. Oesterr.20-27/11	132.770	+0.33%+0.440	11/19/202513:00:00	AT0000A2HKR4	--	--	07/30/2027	D
BKS 0,75% Obl. 21-30/1	90.750	-0.27%-0.250	11/19/202513:00:00	AT0000A2NPT7	--	--	02/08/2030	D
Pierer Industrie 2,5%Anl.20-28	86.010	+0.60%+0.510	11/19/202512:45:13	AT0000A2JSQ5	--	--	04/22/2028	D
RWBB 1,5-2,5% Stfz.WSV 14-28/5	99.250	+2.58%+2.500	11/18/202514:30:33	AT000B020987	--	--	09/19/2028	D
HWBB 3,25% WB-WA 24-36/12  OOE	97.810	-3.16%-3.190	11/18/202514:30:21	AT0000A3E7N5	--	--	08/13/2036	D
HWBB MinMaxWA 19-31/13 Tir/S1	92.860	-0.16%-0.150	11/18/202514:15:29	AT0000A296C2	--	--	08/05/2031	D
HWBB 3,90% WB-WA 23-34/8, ST	105.800	-1.40%-1.500	11/18/202514:15:26	AT0000A36HD8	--	--	09/01/2034	D
HWBB 3,25% WB-WA 23-34/1 BGLD	100.050	+0.11%+0.110	11/18/202514:15:21	AT0000A325N6	--	--	01/25/2034	D
HWBB 3,75% WB-WA 23-34/10 BGLD	103.310	-0.95%-0.990	11/18/202514:15:18	AT0000A36WZ0	--	--	09/15/2034	D
RLBTir 3,75% Anl. 23 - 26/S.20	100.200	0.00%0.000	11/18/202514:15:10	AT0000A35FF9	--	--	06/26/2026	D
OOLB variabel  Anl.22-27/S 56	99.150	0.00%0.000	11/18/202514:15:09	AT0000A30FD5	--	--	10/07/2027	D
BAWAGPSK WBB 3,7% WA 23-33/S2	104.250	0.00%0.000	11/18/202514:15:09	AT0000A36X93	--	--	11/29/2033	D
HTB 3% Anl. 22-27	100.180	-0.03%-0.030	11/18/202514:15:02	AT0000A30KW5	--	--	10/05/2027	D
Hypo-WBB WA Tir. 16-26/11	99.620	+0.01%+0.010	11/18/202514:15:01	AT0000A1LK31	--	--	07/01/2026	D
HWBB 3% WB-WA 22-33/3 Bgld	98.480	-0.76%-0.750	11/18/202514:15:00	AT0000A30608	--	--	09/23/2033	D
OB 2,00% NR  Anleihe 20-27	95.000	-1.04%-1.000	11/18/202513:15:41	AT000B127105	--	--	12/07/2027	D
OB 1,7% NR-Anl.21-28	94.000	-0.99%-0.940	11/18/202513:15:08	AT000B127113	--	--	01/29/2028	D
SIMMO 5,5% Green Bond 23-28/S1	106.000	+3.92%+4.000	11/18/202513:00:29	AT0000A35Y85	--	--	07/12/2028	D
HWBB 3 %  WA OOe14-30/2	98.050	0.00%0.000	11/18/202513:00:28	AT0000A159W0	--	--	02/04/2030	D
SPK OOE 3,25% Fixzins 24-30/10	101.360	-0.04%-0.040	11/18/202513:00:19	AT000B101670	--	--	07/23/2030	D
RLB OO NR Fixz. Anl.24-32/S452	103.000	+0.98%+1.000	11/18/202513:00:11	AT0000A3CTG7	--	--	05/28/2032	D
BKS 5%  Nachr.Obl.22-32/6	104.000	0.00%0.000	11/18/202513:00:10	AT0000A30749	--	--	10/10/2032	D
BKS 0,40% OBL 21-26/3	98.450	0.00%0.000	11/18/202513:00:06	AT0000A2U2E6	--	--	06/01/2026	D
OB 4,55% Nachr.Anl.23-01.12.33	99.150	-0.96%-0.960	11/18/202513:00:03	AT000B127386	--	--	12/01/2033	D
HWBB 0,75-1,25%WWA 20-35/4 OOE	78.500	+2.80%+2.140	11/17/202514:30:12	AT0000A2HTG8	--	--	08/14/2035	D
BAWAG 3,75% Anl.23-26/DIP S.1	100.150	-0.01%-0.010	11/17/202514:15:18	AT0000A31L43	--	--	02/10/2026	D
HWBB 3,90% WB-WA 23-35/19  OOE	107.210	+0.20%+0.210	11/17/202514:15:04	AT0000A38JE8	--	--	03/28/2035	D
RLB STMK 3,50% OBL 23-26/11	100.800	+0.05%+0.050	11/17/202514:15:01	AT000B093927	--	--	08/27/2026	D
WEB Wind 4,5% Hybrid-Anl. 2019	99.000	+0.97%+0.950	11/17/202514:00:05	AT0WEB190HA3	--	--	open-end	D
BTV 2,65% USD OBL 19-26/10	98.600	+0.56%+0.550	11/17/202513:15:37	AT0000A28K98	--	--	07/29/2026	D
BKS 2,75%  Nr. Obl. 20-32/1	92.000	+3.30%+2.940	11/17/202513:15:24	AT0000A2CWL3	--	--	03/02/2032	D
BTV nr Anl. 16-26/11	99.000	-0.50%-0.500	11/17/202513:15:17	AT0000A1LE21	--	--	06/09/2026	D
OB 3,95% Anl. 23-12.07.2028	101.930	-0.14%-0.140	11/17/202513:00:23	AT000B127352	--	--	07/12/2028	D
BTV Stuzi Obl 23-28/6	102.040	-0.08%-0.080	11/17/202513:00:16	AT0000A339M9	--	--	04/06/2028	D
RLB NW 3,20 % Anl. 24-27/109	99.000	+0.50%+0.490	11/17/202513:00:14	AT000B078886	--	--	03/05/2027	D
BTV Stuzi Obl 23-28/1	102.150	+0.02%+0.020	11/17/202513:00:04	AT0000A324D0	--	--	01/18/2028	D
BTV Nr Stfz.Obl 20-30/6	95.500	0.00%0.000	11/17/202513:00:03	AT0000A2CVS0	--	--	03/27/2030	D
ImmoBk 1,05%  fd. WSV 15-27/1	98.240	+9.02%+8.130	11/14/202514:31:31	AT0000A1D574	--	--	02/18/2027	D
Hypo-WBB WA Bgl. 14-26/18	99.000	+0.08%+0.080	11/14/202514:15:08	AT0000A19SE9	--	--	11/03/2026	D
RLB STMK OBL 24-27/4	100.500	-0.10%-0.100	11/14/202514:15:04	AT000B094016	--	--	01/18/2027	D
OB 3,90% NR Anl.25-14.01.2033	94.110	+0.10%+0.090	11/14/202513:00:20	AT000B130315	--	--	01/14/2033	D
BTV Stuzi Obl 20-26/8	99.920	0.00%0.000	11/14/202513:00:12	AT0000A2FAV1	--	--	05/28/2026	D
OB 3,325% Anl. 24-18.03.2030	100.080	-0.53%-0.530	11/14/202513:00:12	AT000B127410	--	--	03/18/2030	D
BKS 3 % Nr Obl. 19-30/4	95.000	-1.04%-1.000	11/14/202513:00:09	AT0000A2AE49	--	--	09/30/2030	D
OB 1,25% Anl. 22-18.02.2029	94.020	-0.12%-0.110	11/14/202513:00:08	AT000B127188	--	--	02/18/2029	D
OB Nr Stfz.-Anl.19-29	96.600	0.00%0.000	11/14/202513:00:02	AT000B126974	--	--	06/11/2029	D
AAB STFZ.ANL. 14-26	99.500	0.00%0.000	11/13/202514:15:26	AT0000A18R51	--	--	07/07/2026	D
RWBB 0,70-1,70%StzWSV 16-28/18	95.970	+0.89%+0.850	11/13/202514:15:25	AT000B124615	--	--	11/10/2028	D
HYPO-WBB WA18-28/2 Tirol	98.510	+0.01%+0.010	11/13/202514:15:18	AT0000A1Z7U7	--	--	01/05/2028	D
Hypo-WBB WA Ktn. 15-27/12	98.600	0.00%0.000	11/13/202514:15:11	AT0000A1D8M8	--	--	03/02/2027	D
Hypo-WBB WA OOE. 14-26/25	98.550	+0.10%+0.100	11/13/202514:15:07	AT0000A1AS85	--	--	12/01/2026	D
RLBTir 0,5 % Anleihe 20-27/1	95.900	0.00%0.000	11/13/202514:15:06	AT0000A2HB45	--	--	07/06/2027	D
HTB 0,52% Anl. 20-27	97.420	+0.08%+0.080	11/13/202514:15:04	AT0000A2C0J1	--	--	01/10/2027	D
RLBStmk1,75-2,65%NrStzA19-29/4	93.500	+0.75%+0.700	11/13/202514:15:02	AT000B093422	--	--	06/06/2029	D
BTV Stuzi Obl 25-30/1	98.220	-0.09%-0.090	11/13/202513:00:27	AT0000A3H8D1	--	--	01/08/2030	D
OB 3,10% Anl. 24-29.05.2027	99.710	-0.09%-0.090	11/13/202513:00:26	AT000B127436	--	--	05/29/2027	D
OB 3,25% Anl. 24-12.01.2030	100.300	+0.10%+0.100	11/13/202513:00:07	AT000B127402	--	--	01/12/2030	D
HTB 2,8% OEFF.PFBR 23-28/S.234	100.330	-0.04%-0.040	11/12/202514:15:21	AT0000A339G1	--	--	03/27/2028	D
Hypo-WBB WA Bgl. 14-26/13	99.510	+0.03%+0.030	11/12/202514:15:21	AT0000A18QP1	--	--	07/15/2026	D
sWBB 3,3% Wohnbauanl.23-34/02	103.250	+0.73%+0.750	11/12/202514:15:07	AT000B116900	--	--	03/21/2034	D
SPK OOE Stufenzinsanl. 25-32/1	100.340	+0.20%+0.200	11/12/202513:00:21	AT000B101696	--	--	01/27/2032	D
RLBStmk 4,15% nrFixz.A16-26/17	100.010	+0.11%+0.110	11/12/202513:00:11	AT000B092895	--	--	07/27/2026	D
21Shares AG EthereumETP/S.AETH	33.650	+6.55%+2.070	11/12/202511:48:02	CH0454664027	--	--	open-end	D
HWBB 3,00% WB-WA 24-34/2 TIR	96.950	-3.05%-3.050	11/11/202514:30:30	AT0000A39GZ7	--	--	07/15/2034	D
HWBB 3,00% WB-WA 24-35/1 BGLD	97.780	-2.12%-2.120	11/11/202514:30:22	AT0000A39FE4	--	--	01/12/2035	D
Hypo-WBB WA Bgl. 16-31/14	95.470	+0.10%+0.100	11/11/202514:15:14	AT0000A1PE19	--	--	11/25/2031	D
RWBB 4% WB-WA-SV 23-34/24	107.000	0.00%0.000	11/11/202514:15:12	AT000B124672	--	--	06/06/2034	D
sWBB 3,05% Wohnbauanl.24-34/01	100.110	+0.11%+0.110	11/11/202514:15:07	AT000B116926	--	--	08/19/2034	D
RLBOO Nr Fix/Flt.A.20-28/S.323	91.010	+0.01%+0.010	11/11/202513:00:26	AT0000A2HRV1	--	--	08/18/2028	D
UBM 3,125% Sustain-Li-Bd.21-26	99.000	-0.46%-0.460	11/11/202512:45:25	AT0000A2QS11	--	--	05/21/2026	D
BKS 3% Nr. Obl. 20-30/3	96.000	+0.58%+0.550	11/10/202513:00:27	AT0000A2HL84	--	--	07/31/2030	D
BKS 4 % Nachrang. Obl. 24-31/5	99.000	0.00%0.000	11/10/202513:00:25	AT0000A3EPG1	--	--	09/16/2031	D
BTV GMFL Plus 21-28/2	97.800	0.00%0.000	11/10/202513:00:22	AT0000A2Q2N3	--	--	03/29/2028	D
HTB 0,56% Anl. 21-28	95.150	+1.42%+1.330	11/07/202514:30:54	AT0000A2N6R8	--	--	01/20/2028	D
HWBB 1-2,75%Dyn.WA 18-33/6 OOE	92.000	+1.94%+1.750	11/07/202514:30:44	AT0000A22NL9	--	--	08/30/2033	D
BAWAG PSK WBB WA 3,1% 24-34/3	101.000	+1.00%+1.000	11/07/202514:15:09	AT0000A3D5F6	--	--	09/18/2034	D
BTV Stuzi Obl 22-27/1	96.900	0.00%0.000	11/07/202513:00:17	AT0000A2VDK5	--	--	02/25/2027	D
Hypo-WBB 2,8% kbWA OOe 13-28/2	99.100	-0.05%-0.050	11/07/202513:00:17	AT0000A0YEF1	--	--	01/17/2028	D
ASpkOOE nrGM-Fltr17-27/7	97.540	0.00%0.000	11/07/202513:00:12	AT000B101308	--	--	12/20/2027	D
sWBB MinMax WBA 16-27/05	99.100	-0.30%-0.300	11/06/202514:30:08	AT000B116611	--	--	10/06/2027	D
BKS 3,25% Obl. 22-27/4	100.600	-0.05%-0.050	11/06/202513:00:25	AT0000A306T3	--	--	04/10/2027	D
BKS 2,875% Green Bond 25-30/2	99.450	-0.10%-0.100	11/06/202513:00:21	AT0000A3HTX1	--	--	02/17/2030	D
ASPKOO 3,625% Nachhalt.A.23-27	101.410	-0.04%-0.040	11/06/202513:00:20	AT000B101522	--	--	04/14/2027	D
SPK OOE Stfz-Anl.23-29/6	104.810	-0.32%-0.340	11/06/202513:00:14	AT000B101571	--	--	11/20/2029	D
HTB 2% Anl. 22-28	97.790	+0.17%+0.170	11/05/202514:15:22	AT0000A2YA78	--	--	06/07/2028	D
BTV 5% USD Obl 23-29/4	102.380	+1.36%+1.370	11/05/202513:15:50	AT0000A32TC4	--	--	03/07/2029	D
3BK-WBB Stuf.Zi.WA.14-26/Oberb	99.530	-0.09%-0.090	11/05/202513:00:15	AT0000A19RN2	--	--	10/07/2026	D
3BK-WBB Stuf.Zins.WA.14-26/BKS	101.100	-0.10%-0.100	11/05/202513:00:09	AT0000A17WE5	--	--	06/16/2026	D
BTV USD GMFL 20-26/14	99.370	+0.01%+0.010	11/05/202513:00:06	AT0000A2HVG4	--	--	09/30/2026	D
HWBB 3,90% WB-WA 23-35/9 OOE	102.300	-3.49%-3.700	11/04/202515:21:08	AT0000A36W78	--	--	07/06/2035	D
HWBB 4% WB-WA 23-33/1 RLB OOE	108.200	0.00%0.000	11/04/202514:15:22	AT0000A36X28	--	--	09/22/2033	D
RaiffWBB 1-1,9% StzWA 16-26/12	99.900	+0.15%+0.150	11/04/202514:15:22	AT000B124557	--	--	05/12/2026	D
OOLB Fix/Float Anl.24-29/S.82	99.250	0.00%0.000	11/04/202514:15:04	AT0000A3FQH4	--	--	10/18/2029	D
EGB 3,40% Anl. 23-26/DIP 1830	99.700	0.00%0.000	11/04/202513:00:16	AT0000A324M1	--	--	02/06/2026	D
EGB CMS nr Float.16-26/DIP1487	99.000	-0.50%-0.500	11/04/202513:00:02	AT0000A1HUU9	--	--	01/27/2026	D
sWBB 1,0% WBA 16-27/04	97.050	+2.05%+1.950	11/03/202514:47:03	AT000B116603	--	--	09/06/2027	D
Hypo-WBB WA OOE. 15-30/3	97.500	+0.10%+0.100	11/03/202514:15:25	AT0000A1BCQ8	--	--	01/08/2030	D
RLB STMK 4% OBL 23-28/9	103.200	-0.19%-0.200	11/03/202514:15:25	AT000B093885	--	--	01/24/2028	D
sWBB KMU WBA 16-27/06	98.300	+0.29%+0.280	11/03/202514:15:25	AT000B116629	--	--	01/16/2027	D
HWBB WB-WA 25-37/7  TIR	97.250	-0.26%-0.250	11/03/202514:15:11	AT0000A3J0E4	--	--	06/30/2037	D
RLBOO Nr Stufenz.anl. 18-28/97	99.000	+1.99%+1.930	11/03/202513:59:23	AT0000A205H2	--	--	03/20/2028	D
RLBOO 3,65% Anl.23-27/DIP S419	100.000	+1.46%+1.440	11/03/202513:15:27	AT0000A324G3	--	--	01/18/2027	D
RBI Green Infl-li Bo.22-27/256	96.070	-0.96%-0.930	11/03/202513:15:09	AT000B015409	--	--	09/16/2027	D
BKS 3,10% Obligation 24-29/1	100.550	+0.05%+0.050	11/03/202513:00:02	AT0000A3A1V5	--	--	02/08/2029	D
HWBB 2,85% WB-WA 25-38/2  OOE	93.300	0.00%0.000	10/31/202515:00:34	AT0000A3HG07	--	--	07/13/2038	D
HWBB 3,90% WB-WA 23-34/7 OOE	103.000	+1.68%+1.700	10/31/202514:30:36	AT0000A36F20	--	--	07/28/2034	D
HWBB 3,30% WB-WA 24-36/11  OOE	99.100	-1.34%-1.350	10/31/202514:15:10	AT0000A3DYT8	--	--	04/02/2036	D
RWBB 1%  WSV 16-28/14	93.010	-0.53%-0.500	10/31/202514:15:08	AT000B124581	--	--	10/07/2028	D
Hypo-WBB WA OOE. 15-26/2	99.850	+0.05%+0.050	10/31/202514:15:08	AT0000A1BCN5	--	--	01/08/2026	D
WEB Windenergie 4,5% Anl.23-33	99.200	-0.10%-0.100	10/31/202514:00:01	AT0WEB2310A6	--	--	04/19/2033	D
SPKOO 4,625% Nachr.Anl.24-34/3	101.920	+1.80%+1.800	10/31/202513:15:29	AT000B101605	--	--	02/23/2034	D
Hypo-WBB 3%  WA OOe 13-29/14	99.500	+0.66%+0.650	10/31/202513:00:23	AT0000A0ZJF7	--	--	03/14/2029	D
OB 3,50% Anleihe 22-27	100.810	-0.16%-0.160	10/31/202513:00:05	AT000B127253	--	--	12/14/2027	D
3BK-WBB Stuf.Zins.WA.15-28/BKS	97.950	-0.76%-0.750	10/31/202513:00:02	AT0000A1E2D9	--	--	06/02/2028	D
HWBB 4% WB-WA 22-34/4 OOE	102.200	-4.58%-4.900	10/30/202514:30:45	AT0000A31FU7	--	--	11/07/2034	D
HWBB WB-WA 25-37/3  OOE	96.750	0.00%0.000	10/30/202514:15:14	AT0000A3HG15	--	--	01/13/2037	D
Hypo-WBB WA OOE. 16-32/2	91.600	+0.44%+0.400	10/30/202514:15:03	AT0000A1HR63	--	--	01/20/2032	D
HWBB 4% WB-WA 23-35/4 OOE	105.100	-0.94%-1.000	10/30/202514:15:01	AT0000A345X3	--	--	05/08/2035	D
UCBA Stufenzi.-Pfbr.17-27/R140	97.050	+2.15%+2.040	10/30/202513:16:27	AT000B049655	--	--	05/18/2027	D
OB 4,05% NR-Anl. 24-18.03.2032	97.620	+2.65%+2.520	10/30/202513:16:01	AT000B127428	--	--	03/18/2032	D
HTB nachr.Schuldv.16-26/S.181	101.800	+0.79%+0.800	10/30/202513:15:44	AT0000A1NA80	--	--	09/01/2026	D
BTV 3,85% OBL 22-27/15	101.960	+0.08%+0.080	10/30/202513:00:25	AT0000A31KG6	--	--	11/09/2027	D
OB 3,8% Anl. 22-14.10.2027	101.360	-0.09%-0.090	10/30/202513:00:20	AT000B127246	--	--	10/14/2027	D
OB Jubilaeumsanl. II 19-26	99.220	+0.15%+0.150	10/30/202513:00:17	AT000B126925	--	--	02/08/2026	D
Biogena-7,5% Anleihe III 24-29	107.000	+2.88%+3.000	10/29/202514:16:01	AT0000A3EX82	--	--	12/01/2029	D
RWBB 4% WB-WA 23-34/23	108.420	+0.02%+0.020	10/29/202514:15:12	AT000B124664	--	--	04/13/2034	D
HWBB 3,75% WB-WA 23-33/5 ST	105.550	+0.59%+0.620	10/29/202514:15:08	AT0000A35391	--	--	06/07/2033	D
BKS 2,25 % nr Obl. 18-26/3	99.000	-0.20%-0.200	10/29/202513:00:14	AT0000A23JY8	--	--	10/01/2026	D
BKS 3,00% Nr.Obl. 22-32/2	94.000	+3.30%+3.000	10/28/202514:03:01	AT0000A2X307	--	--	04/19/2032	D
BKS 3,9% Obl.23-29/S.5	103.550	-0.24%-0.250	10/28/202513:00:28	AT0000A36CD9	--	--	07/26/2029	D
BTV Stuzi Obl 21-27/8	96.470	+0.41%+0.390	10/28/202513:00:17	AT0000A2RZ94	--	--	07/30/2027	D
BKS 3,375 % Green Bond 23-29/1	101.550	-0.29%-0.300	10/28/202513:00:02	AT0000A32RN5	--	--	02/20/2029	D
OBB-IS 2,25 % SV 14-29/S.36/1	121.500	+0.21%+0.260	10/28/202512:45:02	XS1071747023	--	--	05/28/2029	D
BKS 5,00% Nr Obl.23-33/S.3	100.000	-2.93%-3.020	10/27/202513:17:14	AT0000A33107	--	--	03/20/2033	D
BKS 3,00 % Obl.22-27/7	100.250	0.00%0.000	10/27/202513:00:07	AT0000A321C8	--	--	02/15/2027	D
OB nachr.Stufenz.Anl. 18-26	99.100	-0.35%-0.350	10/27/202513:00:03	AT000B126784	--	--	01/31/2026	D
21Shares AG Bitcoin ETP/S.ABTC	31.870	-3.98%-1.320	10/24/202515:56:52	CH0454664001	--	--	open-end	D
RWBB 2% WSV 14-29/S.4	100.500	+3.61%+3.500	10/24/202515:31:51	AT000B020979	--	--	09/19/2029	D
3,75% WEB Windenerg.-Anl.16-26	95.000	-13.64%-15.000	10/24/202514:39:23	AT0000A1MC22	--	--	09/26/2026	D
WEB Windenergie 2,25%Anl.18-28	95.000	+11.76%+10.000	10/24/202514:34:52	AT0WEB1810A6	--	--	09/25/2028	D
HTB Fix-Minimax Anl.19-26	99.870	+0.08%+0.080	10/24/202514:15:28	AT0000A25HP5	--	--	01/07/2026	D
HWBB 3% WB-WA 24-34/5 RLB OOE	99.000	0.00%0.000	10/24/202514:15:07	AT0000A3A212	--	--	02/06/2034	D
sWBB 2,90% Wohnbauanl.24-35/03	100.100	-0.89%-0.900	10/24/202514:15:00	AT000B116942	--	--	03/30/2035	D
sWBB 3,6 % Wohnbauanl.22-33/01	105.600	+1.44%+1.500	10/24/202514:15:00	AT000B116876	--	--	04/30/2033	D
OB 4% Anl. 23-03.01.2028	101.980	-0.05%-0.050	10/24/202513:00:05	AT000B127378	--	--	01/03/2028	D
RLB STMK Stfz.OBL.20-26/1	99.200	+0.51%+0.500	10/23/202514:15:17	AT000B093471	--	--	05/14/2026	D
BKS 0,60% Green Bond 20-26/4	98.450	0.00%0.000	10/22/202513:00:22	AT0000A2HL92	--	--	05/31/2026	D
HWBB 3,50% WB-WA 23-33/3  TIR	104.000	+2.80%+2.830	10/21/202514:30:56	AT0000A345M6	--	--	05/03/2033	D
Hypo-WBB 1,5% WA Bgld 18-30/4	95.060	+1.13%+1.060	10/21/202514:30:35	AT0000A1Z8T7	--	--	02/01/2030	D
HWBB 3,30% WB-WA 24-36/8  OOE	100.020	+4.02%+3.870	10/21/202514:30:34	AT0000A3AZW5	--	--	10/07/2036	D
BB 3,50% Fixzins Anl.23-28	102.270	+0.16%+0.160	10/21/202514:15:29	AT0000A36WM8	--	--	03/15/2028	D
HWBB 3,00% WB-WA 25-40/14 OOE	98.200	-0.05%-0.050	10/21/202514:15:23	AT0000A3ND44	--	--	08/06/2040	D
Hypo-WBB WA Bgl. 16-31/8	92.400	+0.08%+0.070	10/21/202514:15:07	AT0000A1KSA9	--	--	04/04/2031	D
OOLB 0,50% Anleihe 21-29/S.38	90.950	+0.33%+0.300	10/21/202514:15:02	AT0000A2QAE4	--	--	03/02/2029	D
BTV Geldmarkfloater 18-28/5 PP	99.920	0.00%0.000	10/21/202513:00:26	AT0000A20CC5	--	--	03/28/2028	D
BTV Geldmarktfloater 23-29/2	100.060	+0.16%+0.160	10/21/202513:00:06	AT0000A324E8	--	--	01/18/2029	D
HWBB MinMaxWA 19-31/8 OOE/S1	92.450	+1.35%+1.230	10/20/202514:30:43	AT0000A26861	--	--	02/12/2031	D
OOLB 0,75% Anl.20-27/S.23	96.500	+0.78%+0.750	10/20/202514:15:24	AT0000A2EM60	--	--	04/23/2027	D
RLBOONachFixz. Anl.24-30/S464	100.020	+0.02%+0.020	10/20/202513:00:11	AT0000A3GAV7	--	--	11/19/2030	D
HWBB 4,00% WB-WA 23-35/16  OOE	103.900	-4.81%-5.250	10/17/202515:21:18	AT0000A37UE7	--	--	10/31/2035	D
WEB 6,5% Hybrid-TeilSV 2015	95.000	-7.77%-8.000	10/17/202514:16:36	AT0000A1GTQ1	--	--	12/17/2025	D
RLB STMK 2,15 % Anl.22-27/5	99.800	+0.05%+0.050	10/17/202514:15:15	AT000B093745	--	--	02/05/2027	D
RBIGreenInfl-liBd II 20-27/219	99.050	0.00%0.000	10/17/202513:15:21	AT000B015052	--	--	10/02/2027	D
HWBB DYNAMIK WA OOe14-28/11	99.650	+0.20%+0.200	10/17/202513:00:08	AT0000A16QU5	--	--	03/20/2028	D
RBI Step-Up maRz XI 24-29/S296	99.000	0.00%0.000	10/17/202513:00:01	AT000B015730	--	--	06/10/2029	D
PV-Inv 4,15% GreenBond19-26/S2	95.000	+137.50%+55.000	10/16/202514:16:00	AT0000A2A1L7	--	--	10/31/2026	D
RLB STMK MIN-MAX 23-30/10	103.150	+0.24%+0.250	10/16/202514:15:09	AT000B093893	--	--	01/23/2030	D
HWBB 3,10% WB-WA 24-35/6, ST	100.800	+0.30%+0.300	10/16/202514:15:07	AT0000A3AAW8	--	--	02/05/2035	D
BTV Nr  Anl. 18-28/6	97.800	-0.47%-0.460	10/16/202513:00:22	AT0000A20E94	--	--	05/23/2028	D
OB 4,80% Nr.Anl. 23-08.09.2031	101.000	+0.50%+0.500	10/15/202513:00:11	AT000B127360	--	--	09/08/2031	D
BTV Stufenzins Obl.24-29/6	102.120	-0.08%-0.080	10/15/202513:00:07	AT0000A3BRX8	--	--	04/17/2029	D
HTB 0,65% Anl. 22-29	92.570	+2.60%+2.350	10/14/202515:21:14	AT0000A2UXD0	--	--	01/10/2029	D
LM Verwalt. 5,01% Anl. 21-31	103.000	+3.00%+3.000	10/14/202514:56:10	AT0000A2NWB1	--	--	12/02/2031	D
3BK-WBB WA TH Oberbank 14-26	100.000	-2.58%-2.650	10/14/202514:07:52	AT0000A15TP1	--	--	03/10/2026	D
